id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
646022148319826065,https://www.airbnb.com/rooms/646022148319826065,20250930030739,2025-09-30,city scrape,"Apartament, Shared Pool, Balcony Castellsol 309","Cosy, recently refurbished 51 m² apartement in Arenal d'en Castell for up to 4 people. It has a double bedroom, terrace, free WiFi, and is fully equipped. <br /><br />It is located just 300 metres from the sandy Arenal d'en Castell beach and offers a shared outdoor swimming pool, a large outdoor area with sun loungers and free private parking. The area is very quiet and at the same time close to supermarkets, a pharmacy, good restaurants and entertainment facilities.","It is located in the quiet urbanization Arenal d'en Castell, which embraces the beautiful beach that gives it its name. Within a few minutes walking distance there are restaurants and bars, supermarkets, pharmacy, bus and taxi stop.... Of course, the beach and the sea are always in sight. <br /><br />Mahón 18 km / Airport 25 km / Ciutadella 30 km",https://a0.muscache.com/pictures/prohost-api/Hosting-646022148319826065/original/658ff2aa-5ab0-46ae-9950-4323dc3a6453.jpeg,101497420,https://www.airbnb.com/users/show/101497420,MauterVillas,2016-10-27,"Balearic Islands, Spain",,within an hour,96%,99%,f,https://a0.muscache.com/im/pictures/user/User-101497420/original/748376b0-354a-4d62-9b2d-1923d6597f9d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-101497420/original/748376b0-354a-4d62-9b2d-1923d6597f9d.jpeg?aki_policy=profile_x_medium,,44,47,"['email', 'phone', 'work_email']",t,t,"Arenal d'en Castell, Islas Baleares, Spain",Es Mercadal,,40.01933,4.17966,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Cleaning products"", ""Portable fans"", ""Bed linens"", ""Hot water kettle"", ""Dishwasher"", ""Iron"", ""Drying rack for clothing"", ""Coffee maker"", ""Sun loungers"", ""Self check-in"", ""Outdoor furniture"", ""Outdoor dining area"", ""First aid kit"", ""Toaster"", ""42 inch HDTV with standard cable"", ""Paid folding or convertible high chair - available upon request"", ""Microwave"", ""Private patio or balcony"", ""Shared outdoor pool - available all year, open 24 hours"", ""Shared beach access"", ""Fire extinguisher"", ""Cooking basics"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Hair dryer"", ""Clothing storage"", ""Stove"", ""Hot water"", ""AC - split type ductless system"", ""Room-darkening shades"", ""Free washer \u2013 In unit"", ""Freezer"", ""Paid crib - available upon request"", ""Private entrance"", ""Waterfront"", ""Hangers"", ""Oven"", ""Free street parking"", ""Dishes and silverware"", ""Lockbox"", ""Essentials"", ""Wine glasses"", ""Free parking on premises"", ""Dining table""]",$83.00,1,1125,1.0,3.0,3.0,1125.0,1.1,1079.0,,t,16,17,17,17,2025-09-30,4,1,0,17,0,6,498.0,2022-07-09,2025-05-09,3.75,4.0,4.25,4.25,4.5,4.0,3.5,APM1895,t,44,44,0,0,0.1
48745108,https://www.airbnb.com/rooms/48745108,20250930030739,2025-09-30,city scrape,Stunning sea views from very front line,"Cozy apartment located in the Paseo Marítimo de Fornells in very first line and with stunning sea views. Fully equipped with air conditioning in the living room and both bedrooms, as well as free access to internet WiFi.<br /><br />The apartment consists of a master bedroom with double bed and another room with one single bed, two bathrooms (one en-suite), living room with TV, fully equipped kitchen with fridge, dishwasher, washing machine, oven, microwave oven. Large terrace with table and chairs where you will enjoy magnificent views over the bay of Fornells.<br /><br />Located on the promenade 100 meters from the town center.<br /><br />There is no nearby business or commercial activity likely to cause nighttime inconvenience.<br /><br /><br />  <br />Amenities: Washing Machine, Dishwasher, kettle, double bed, TV, Terrace, Kitchen, oven, microwave, toaster, fridge / freezer, internet connection, air conditioning, heating, single bed, Iron, Ironing Board, Seaview, Fishing, Golf, Sail","Fornells is one of the most exclusive and most charming holiday destinations in the Mediterranean, a small fishing village located on the north coast of Menorca where the landscape has the highest level of protection in the EU.<br /><br />The village of Fornells is formed by a wonderful historical center next to the port with its lovely pedestrian streets, a beautiful promenade and well-kept residential areas around the center.<br /><br />In Fornells you will find the best offer of activities. Boat trips, scuba diving, kayaking, boat rentals, windsurfing, hiking and many more for companies with great experience.<br /><br />Fornells offers a great and diverse gastronomic offer including three of the best restaurants in Menorca with its famous lobster, fresh fish and other surprising dishes.<br /><br />You can enjoy the marvelous crystal waters of the Bay of Fornells in its protected swimming areas in the sea and you can easily go to the best beaches of Menorca.<br /><br />In Fornells yo",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDg3NDUxMDg=/original/6b8133f2-91f9-4807-96a5-721fb46921d7.jpeg,21392015,https://www.airbnb.com/users/show/21392015,Som,2014-09-16,"Fornells, Minorca, Spain","En SOM Menorca, fundada en 1990, encontrará la mejor selección de casas y apartamentos para que disfrute sus vacaciones en Menorca. 

En SOM Menorca fomentamos hábitos, actitudes y comportamientos en favor del respeto por el medio ambiente, la lucha contra el cambio climático y una mejor conservación del ecosistema menorquín. Asimismo, apoyamos el comercio de proximidad y defendemos las tradiciones y la cultura menorquina",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-21392015/original/7b52bdb8-6bc1-46b5-99bd-af1f4ef2f4da.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-21392015/original/7b52bdb8-6bc1-46b5-99bd-af1f4ef2f4da.jpeg?aki_policy=profile_x_medium,,56,58,"['email', 'phone']",t,t,"Fornells, Illes Balears, Spain",Es Mercadal,,40.05386,4.13012,Entire rental unit,Entire home/apt,3,2.0,2 baths,2.0,2.0,"[""Clamp on table seat high chair"", ""Sea view"", ""Dedicated workspace"", ""Bed linens"", ""Dishwasher"", ""Iron"", ""Drying rack for clothing"", ""Coffee maker"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""First aid kit"", ""Crib"", ""Ocean view"", ""Toaster"", ""Microwave"", ""Blender"", ""Smoking allowed"", ""Harbor view"", ""Private patio or balcony"", ""Fire extinguisher"", ""Cooking basics"", ""Beach access"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Ethernet connection"", ""Bay view"", ""Hot water"", ""Room-darkening shades"", ""Free washer \u2013 In unit"", ""AC - split type ductless system"", ""Hangers"", ""Heating"", ""Oven"", ""Marina view"", ""Free street parking"", ""Dishes and silverware"", ""Lockbox"", ""Essentials"", ""Bathtub"", ""Electric stove"", ""Wine glasses"", ""Dining table""]",$121.00,1,1125,1.0,30.0,30.0,1125.0,12.2,715.4,,t,18,48,78,168,2025-09-30,5,0,0,81,1,0,0.0,2022-07-07,2024-05-17,4.8,4.8,4.6,4.8,5.0,5.0,4.8,ESFCTU00000701300057202900000000000000000000ET2383ME5,t,52,52,0,0,0.13
957841694453081353,https://www.airbnb.com/rooms/957841694453081353,20250930030739,2025-09-30,previous scrape,Villa PuntaRosa by Villa Plus,"The position of Villa PuntaRosa could not be better. Located one street back from the beach and facilities of Punta Prima, you&#39;ll have everything you need for an enjoyable holiday right on your doorstep. The popular Splash! waterpark is also nearby and can be accessed on foot. This impressive 3 bedroom villa has a private pool as well as a partial sea view from the first floor balcony. WiFi and air conditioning/heating in the bedrooms are included.",,https://a0.muscache.com/pictures/prohost-api/Hosting-957841694453081353/original/5b17366c-497d-47c1-8de6-082fc4c3d49f.jpeg,515028500,https://www.airbnb.com/users/show/515028500,Rajesh Anantray,2023-05-16,,"Established in 1986, Villa Plus is the UK’s leading villa accommodation specialist. The expert UK Travel Team and the bi-lingual overseas in-resort team pride themselves on putting the customer at the heart of everything they do, so you can be sure your villa booking is in safe hands. 

The dedicated teams go the extra mile by hand-picking every villa ensuring you will find the quality villa, in the best location for your holiday.",within an hour,99%,100%,f,https://a0.muscache.com/im/pictures/user/User-515028500/original/2b6792bb-af16-4d28-a7ff-66d83e0cb6c0.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-515028500/original/2b6792bb-af16-4d28-a7ff-66d83e0cb6c0.jpeg?aki_policy=profile_x_medium,Mijas Costa,1562,1607,"['email', 'phone']",t,t,,Sant Lluís,,39.81437,4.28018,Entire villa,Entire home/apt,5,,2 baths,3.0,,"[""Washer"", ""Bed linens"", ""Dishwasher"", ""Self check-in"", ""Air conditioning"", ""Microwave"", ""Safe"", ""Beach access"", ""Wifi"", ""Kitchen"", ""TV"", ""Smoke alarm"", ""Hair dryer"", ""Private pool"", ""Pool table"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Heating"", ""Free street parking"", ""Baby safety gates"", ""Lockbox""]",,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,0,2025-09-30,0,0,0,0,0,0,,,,,,,,,,,VT 402 ME,t,218,218,0,0,
1309442835340613394,https://www.airbnb.com/rooms/1309442835340613394,20250930030739,2025-09-30,city scrape,Arenal d'en Castell · 2 bedrooms,"Discover your refuge in Arena Es Castell, Menorca! Just 3 minutes from the beach and in a quiet development, it is the ideal place to enjoy the Mediterranean. Relax in the serenity of the island and explore the charming local restaurants within walking distance.<br /><br />30 minutes from Mahón and 20 minutes from Mercadal, with supermarkets, shops and services nearby. Close to beaches like Cala Pregonda, Playa de Cavalleria and Cala Tortuga. We look forward to seeing you in Arenal for unforgivable vacations!",,https://a0.muscache.com/pictures/prohost-api/Hosting-1309442835340613394/original/d767e38e-6c4d-497a-9542-fd517bca7242.jpeg,296249639,https://www.airbnb.com/users/show/296249639,Bernardo Joaquin,2019-09-19,"Balearic Islands, Spain","Hola! Me llamo Bernardo, soy un chico Menorquin de 22 años.
deportista, navegante,y viajerero.",within an hour,94%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/914198ae-a489-4877-b1a4-3bea89fb60d9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/914198ae-a489-4877-b1a4-3bea89fb60d9.jpeg?aki_policy=profile_x_medium,,32,32,"['email', 'phone']",t,t,,Es Mercadal,,40.0217,4.1786,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Pool"", ""Bed linens"", ""Coffee maker"", ""Body soap"", ""First aid kit"", ""Shampoo"", ""Cooking basics"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""TV"", ""Smoke alarm"", ""Hair dryer"", ""Ethernet connection"", ""Carbon monoxide alarm"", ""Shower gel"", ""Private entrance"", ""Heating"", ""Dishes and silverware"", ""Essentials""]",$57.00,1,365,2.0,3.0,999.0,999.0,2.9,999.0,,t,2,2,2,2,2025-09-30,0,0,0,2,0,0,0.0,,,,,,,,,,APM1946,t,32,32,0,0,
1517175131213534424,https://www.airbnb.com/rooms/1517175131213534424,20250930030739,2025-09-30,city scrape,Riviera Hotel Suite Junior with breakfast,"Riviera is a journey through time, a refuge for those seeking something different. Inspired by the carefree mood of the Dolce Vita, you'll find a universe that combines a pop style from another time with the freshness of the Mediterranean Sea.<br /><br />Riviera is sparkle. It's nostalgia. It's glamorous. Our hotel is not for those who settle for less. It's for those who appreciate the pleasure of small details: such as a perfectly prepared Negroni, for example.",,https://a0.muscache.com/pictures/hosting/Hosting-1517175131213534424/original/5fc5aab9-d63f-4f7b-8df5-fecf69068bd2.jpeg,548492519,https://www.airbnb.com/users/show/548492519,Marcello,2023-11-28,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/a28a1966-cbe6-469a-a456-0156655130b8.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/a28a1966-cbe6-469a-a456-0156655130b8.jpeg?aki_policy=profile_x_medium,,4,5,"['email', 'phone']",t,f,,Ciutadella de Menorca,,39.9958578,3.829621899999999,Room in hotel,Private room,2,1.0,1 private bath,1.0,1.0,"[""Wifi"", ""Exterior security cameras on property"", ""TV"", ""Dedicated workspace"", ""Smoke alarm"", ""First aid kit"", ""Pool"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Fire extinguisher""]","$1,000.00",1,365,1.0,3.0,365.0,365.0,1.3,365.0,,t,0,0,0,121,2025-09-30,0,0,0,0,0,0,0.0,,,,,,,,,,HPM2397,t,3,0,3,0,
915702698730043799,https://www.airbnb.com/rooms/915702698730043799,20250930030739,2025-09-30,city scrape,S'Olivera by 3 Villas Menorca,"Bring the whole family to this great place with lots of room for fun.<br />Beautiful villa in Addaya with 3 bedrooms, air conditioning in all areas, large private swimming pool and barbecue area. This charming residence offers comfort with a modern design. Relax in its spacious rooms, cool off in the pool or enjoy a delicious meal al fresco in the barbecue area - a perfect place to create unforgettable memories with family and friends!","We hope you have lots of laughter and fun times during your vacation! However, we’d really appreciate it if you’re mindful and keep noise to a minimum during nighttime hours. Parties are absolutely forbidden during the whole stay. <br /><br />The port of Addaia is a quiet residential area that has been established along a natural harbour and has all the necessary services for your holidays: restaurants, supermarket, public transport, etc. Very close to the beach of Arenal d'en Castell, one of the biggest beaches of the island with a circular shape, where you can also find a lot of entertainment and services.<br /><br />More information:<br /><br />MAIN HOUSE<br />- Bedroom 1: double bed, A/C, en suite bathroom, ground floor<br />- Bedroom 2: double bed, A/C, bathroom en suite, first floor<br />- Bedroom 3: two single beds, A/C, en suite bathroom, first floor<br />- Bedroom 4: two single beds, A/C, second floor<br /><br /><br />-Pool size: 6x3.5 mts // Max deep 1.8 mts<br />-Distance to",https://a0.muscache.com/pictures/miso/Hosting-915702698730043799/original/e8f0dc0f-fa30-4308-863a-825e1511752a.jpeg,105711740,https://www.airbnb.com/users/show/105711740,3Villas,2016-11-30,"Balearic Islands, Spain","We are a team with many years experience in helping owners to rent their villas for holidays. We are here to help and assist you:
Jose, Jordi, Johannes, Rafa, Toni, Marta, Cristian, Belén, Lluis, Carlos, Carmen, Sam, Amanda, Karine, Chema and Rafel.
Holidays are the most beautiful tme of the year and we want to help to make them special.
If you interested to rent your property you can contact us via our web or a short message",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-105711740/original/bc41935d-2e80-470f-9cb2-f1755119fcae.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-105711740/original/bc41935d-2e80-470f-9cb2-f1755119fcae.jpeg?aki_policy=profile_x_medium,,120,253,"['email', 'phone']",t,t,"Port d'Addaia, Illes Balears, Spain",Es Mercadal,,40.00909,4.19868,Entire home,Entire home/apt,6,4.5,4.5 baths,4.0,7.0,"[""Washer"", ""Bed linens"", ""Dishwasher"", ""Drying rack for clothing"", ""Coffee maker"", ""Sun loungers"", ""Self check-in"", ""Outdoor dining area"", ""First aid kit"", ""Crib"", ""Air conditioning"", ""Toaster"", ""Microwave"", ""Outdoor shower"", ""Heating - split type ductless system"", ""Fire extinguisher"", ""High chair"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""TV"", ""Free dryer"", ""Hair dryer"", ""Private pool"", ""Ethernet connection"", ""Hot water"", ""Clothing storage: closet"", ""BBQ grill"", ""Oven"", ""Free street parking"", ""Dishes and silverware"", ""Lockbox"", ""Essentials""]",$168.00,7,300,7.0,7.0,300.0,300.0,7.0,300.0,,t,3,5,5,187,2025-09-30,4,1,0,5,1,14,2352.0,2023-07-06,2025-08-24,4.0,4.5,3.5,5.0,4.5,5.0,4.0,ESFCTU00000701300016332600000000000000000000et0306me2,t,114,114,0,0,0.15
757867780248449829,https://www.airbnb.com/rooms/757867780248449829,20250930030739,2025-09-30,city scrape,Villa Lucia,"<p>Look no further than Villa Lucia for an ideal summer getaway in the family friendly resort of Cala en Forcat. With a wide selection of bars, restaurants and supermarkets within easy reach and the pretty cove of Cala en Blanes a few minutes’ walk away, this really is a fantastic location. The villa itself is bright and airy with each of the three bedrooms and main living area opening straight onto the pool terrace.",Airport - 48 km<br />Beach - 0 km<br />Restaurant - 0 km<br />Shops - 0 km,https://a0.muscache.com/pictures/prohost-api/Hosting-757867780248449829/original/00ddff8a-eafe-4e11-b6ff-b9ee1cc3cade.jpeg,14113470,https://www.airbnb.com/users/show/14113470,Neil,2014-04-10,"Burton upon Trent, United Kingdom","*IMPORANT* - In order to access your villa directions and key collection information, you will need to log-in to the Solmar Villas website. Information on how to do this will be emailed to you once your booking is confirmed. Please note that we will contact you post booking via our Villa Concierge Team in order for you to provide your Advanced Passenger Information. This includes all passenger names, dates of birth, passport details and your flight details, which is required by local authorities.

Solmar Villas is a family run business with over 29 years of experience in arranging high quality, tailor made villa holidays. We pride ourselves in providing the highest quality prompt and personalised service to all our clients - with Solmar Villas, you are in safe hands.

We specialise in providing the very finest villas for perfect villa holidays.

All our villas are carefully chosen and approved by our staff - we select only the highest quality villas in the finest resorts and regions of mainland Spain as well as the Balearics  and Canary Islands, Portugal, Greek Islands,  Cyprus and Croatia.

Our selection of villas include a wide range of properties from traditional style houses offering peace and privacy in the countryside, to luxury villas with pools and breath-taking coastal views. 

Solmar has built a loyal customer base. Many of our clients use Solmar year after year and many of our new customers book our villas after recommendations from friends and family.

Whatever type of holiday you have in mind, whether its beach, sports or special interest, we will do everything possible to meet your requirements.

Our ATOL number is ATOL 10334 and as such any flight inclusive holidays booked with us are financially protected.",within an hour,99%,100%,f,https://a0.muscache.com/im/pictures/user/c36f346b-aa56-421a-9d2a-56f212588d81.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c36f346b-aa56-421a-9d2a-56f212588d81.jpg?aki_policy=profile_x_medium,Urbanización Punta Lara,1522,1761,"['email', 'phone']",t,t,"Illes Balears, Spain",Ciutadella de Menorca,,40.00339,3.80814,Entire villa,Entire home/apt,6,2.0,2 baths,3.0,6.0,"[""Freezer"", ""Private outdoor pool"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""Oven"", ""TV with standard cable"", ""Smoke alarm"", ""Air conditioning"", ""Bed linens"", ""Microwave"", ""Free parking on premises"", ""Dishwasher"", ""Fire extinguisher"", ""Sun loungers"", ""BBQ grill""]",$547.00,3,1125,3.0,3.0,29.0,1125.0,3.0,1077.0,,t,5,5,5,168,2025-09-30,5,3,0,5,2,18,9846.0,2023-07-22,2025-04-30,4.6,4.8,5.0,5.0,4.6,5.0,5.0,VTV202ME,t,122,122,0,0,0.19
37950711,https://www.airbnb.com/rooms/37950711,20250930030739,2025-09-30,previous scrape,"Jordi, Beautiful Villa with pool in Menorca!",DISCOVER THE CHARM OF VILLA JORDI<br />Menorca is one of the most beautiful places in the Mediterranean and Spain.,"DISCOVER THE AREA – PRIVILEGED ENVIRONMENT IN CALA EN BOSCH / CAP D'ARTRUTX<br />The villa is located in Cap d'Artrutx, a quiet and residential area in the southwest of Menorca, perfect for those seeking comfort, services, and easy access to the main attractions of the island.<br /><br />CAL EN BOSCH / CAP D'ARTRUTX – UNFORGETTABLE SUNSETS<br />This charming coastal spot is known for its iconic lighthouse, now converted into a restaurant and lookout point. It’s one of the best places in Menorca to enjoy a magical sunset over the sea, with views of Mallorca on clear days. Ideal for a romantic dinner or a relaxing stroll.<br /><br />SON XORIGUER BEACH – NATURE AND ACTIVITIES<br />Just 5 minutes by car (or 15 minutes walking) from the villa, you’ll find this beautiful turquoise water beach. In the area, you’ll find:<br />• Diving, windsurfing, and sailing schools<br />• Kayak rentals<br />• Restaurants with sea views<br />• Family-friendly areas<br />Perfect for those who want to combine ",https://a0.muscache.com/pictures/prohost-api/Hosting-37950711/original/68bece17-d228-4abc-a1e4-0b873eeeac96.jpeg,263033799,https://www.airbnb.com/users/show/263033799,Miguel,2019-05-20,"Ciutadella de Menorca, Spain",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/5dc372da-e99f-4ce4-9008-6837ebd25f86.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5dc372da-e99f-4ce4-9008-6837ebd25f86.jpg?aki_policy=profile_x_medium,,15,20,"['email', 'phone', 'work_email']",t,t,"Cap d'Artrutx, Illes Balears, Spain",Ciutadella de Menorca,,39.93052,3.82612,Entire villa,Entire home/apt,6,,2 baths,3.0,,"[""Long term stays allowed"", ""Bidet"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""Un altre electric stove"", ""Hot water kettle"", ""Dishwasher"", ""Iron"", ""Coffee maker"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Garden view"", ""Outdoor furniture"", ""Outdoor dining area"", ""First aid kit"", ""Crib"", ""Toaster"", ""Microwave"", ""Smoking allowed"", ""Private indoor pool - available all year, open 24 hours"", ""Hammock"", ""Fire extinguisher"", ""High chair"", ""Cooking basics"", ""42 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix"", ""Beach access"", ""Kitchen"", ""Refrigerator"", ""Extra pillows and blankets"", ""Hair dryer"", ""Ethernet connection"", ""Cleaning available during stay"", ""Children\u2019s dinnerware"", ""Hot water"", ""Clothing storage: closet"", ""Room-darkening shades"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Private entrance"", ""Hangers"", ""Heating"", ""Oven"", ""Free street parking"", ""Dishes and silverware"", ""Babysitter recommendations"", ""Lockbox"", ""Wine glasses"", ""Bathtub"", ""Free parking on premises"", ""Dining table"", ""Single level home"", ""Ceiling fan"", ""Fast wifi \u2013 50 Mbps""]",,7,1125,5.0,7.0,99.0,99.0,7.0,99.0,,t,5,5,5,5,2025-09-30,40,12,2,5,8,168,,2020-08-08,2025-09-14,4.83,4.98,4.85,4.93,5.0,4.63,4.73,VT 656 ME,t,11,11,0,0,0.64
21857640,https://www.airbnb.com/rooms/21857640,20250930030739,2025-09-30,city scrape,Luxury villa with sea/sunset view and private pool,"Luxury 3 bedrooms (1 en suite) villa with private pool and gorgeous 180º sea and sunset view in quiet Cap D'Artrutx. <br />The villa is a few minutes by car from the astonishing Cala'n Bosch and Son Xoriguer beaches, and 15 min from Ciutadella. Amazing location, close to supermarkets, bars, restaurants and family fun - a perfect destination for families, couples and groups of friends. <br />All bedrooms have air con and the house is equipped with cable TV, wi-fi and washing machine.","Cap d'Artrutx is a very quiet and beautiful residencial area surrounded by the sea with the best sunset view  in Menorca.The villa is 3 minutes away by car (or a pleasant 25 minutes walk by the sea) from Cala'n Bosch, a gorgeous white sand beach, and a bit more than 5 minutes by car from the pristine Son Xoriguer. The location is also very strategic to access the famous Turqueta and Macarella Beach in less than 30 min. You can reach the charming village of Ciutadella is 15 minutes by car or bus.",https://a0.muscache.com/pictures/304b7eb9-0f0e-40df-8b2c-7a9a4a0332ad.jpg,4034619,https://www.airbnb.com/users/show/4034619,Dri & Kass,2012-11-01,"Ciutadella de Menorca, Spain","We live in Menorca (Spain) and we love to travel around the world using AirBnb. As we do it quite often, we are happy to share our lovely houses in Menorca (our favourite spot in the world) with other travellers when abroad. 
",within an hour,100%,70%,t,https://a0.muscache.com/im/users/4034619/profile_pic/1381144408/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4034619/profile_pic/1381144408/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Ciutadella de Menorca, Illes Balears, Spain",Ciutadella de Menorca,,39.92714,3.82208,Entire villa,Entire home/apt,7,2.0,2 baths,3.0,4.0,"[""Sea view"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Host greets you"", ""Dishwasher"", ""Iron"", ""Coffee maker"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""Outdoor dining area"", ""First aid kit"", ""Ocean view"", ""HDTV with Amazon Prime Video, HBO Max, Netflix, standard cable"", ""Microwave"", ""Private patio or balcony"", ""Fire extinguisher"", ""High chair"", ""Cooking basics"", ""Beach access"", ""Pool view"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""Hair dryer"", ""Private pool"", ""Stove"", ""Hot water"", ""AC - split type ductless system"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Private entrance"", ""Waterfront"", ""Hangers"", ""Heating"", ""Oven"", ""Free street parking"", ""Dishes and silverware"", ""Lockbox"", ""Essentials"", ""Free parking on premises"", ""Long term stays allowed""]",$137.00,5,1124,5.0,5.0,1124.0,1124.0,5.0,1124.0,,t,0,0,0,59,2025-09-30,48,5,1,0,6,50,6850.0,2018-05-15,2025-08-31,4.96,4.98,4.83,4.96,5.0,4.79,4.79,VTV146ME,f,2,2,0,0,0.53
32928746,https://www.airbnb.com/rooms/32928746,20250930030739,2025-09-30,city scrape,"Villa with pool next to the beach, Es Canutells","Holiday rental of this nice villa with pool and spacious garden with barbeque area. Situtaed in a quiet residential area of Es Canutells, south coast of the island. The romantinc beach is within a walking distance, really close. Supermarkets and shops in the village. Airport only within 6 km. 2 double bedrooms and 2 single bedrooms. Fully air-conditioned. Nice garden and barbeque area. Perfect for holidays!","The area is situated on Minorca's south coast where spectacular, white sand beaches combine with small rocky inlets and crystal clear waters, permitting swimming with fish in Paradise. It is therefore not surprising to find small clubs in the area dedicated to watersports and diving.<br />The south-east coast comprises small touristic urbanisations and untouched areas very near Sant Lluis or Sant Clemente town and just 5km from the airport and Mahon, the island's capital.",https://a0.muscache.com/pictures/6970ebda-f9ac-418c-9dcf-9215e681394e.jpg,50350088,https://www.airbnb.com/users/show/50350088,Marta,2015-12-02,,,within a few hours,92%,81%,t,https://a0.muscache.com/im/pictures/user/User/original/58a2398f-f919-49dd-b134-3ba34c50d407.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/58a2398f-f919-49dd-b134-3ba34c50d407.jpeg?aki_policy=profile_x_medium,,45,83,"['email', 'phone']",t,t,"Es Canutells, Illes Balears, Spain",Mahón,,39.85306,4.17218,Entire villa,Entire home/apt,6,3.0,3 baths,4.0,4.0,"[""Washer"", ""Long term stays allowed"", ""Bed linens"", ""Hot water kettle"", ""Dishwasher"", ""Iron"", ""Drying rack for clothing"", ""Coffee maker"", ""Sun loungers"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""Outdoor dining area"", ""First aid kit"", ""Patio or balcony"", ""Crib"", ""Air conditioning"", ""Toaster"", ""Luggage dropoff allowed"", ""Microwave"", ""Blender"", ""Smoking allowed"", ""Barbecue utensils"", ""Fire extinguisher"", ""High chair"", ""Cooking basics"", ""Trash compactor"", ""Wifi"", ""Kitchen"", ""Backyard"", ""Refrigerator"", ""TV"", ""Smoke alarm"", ""Indoor fireplace"", ""Hair dryer"", ""Private pool"", ""Stove"", ""Hot water"", ""Clothing storage: closet"", ""BBQ grill"", ""Freezer"", ""Waterfront"", ""Hangers"", ""Oven"", ""Free street parking"", ""Dishes and silverware"", ""Essentials"", ""Wine glasses"", ""Free parking on premises"", ""Dining table"", ""Ceiling fan""]",$170.00,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,,t,28,58,60,230,2025-09-30,12,3,0,60,4,30,5100.0,2019-09-07,2025-07-19,4.58,4.42,4.83,4.58,4.58,4.67,4.33,ESFCTU00000701300050704500000000000000000000ET1790ME8,f,43,43,0,0,0.16
